"","abortion","age","bible","black","church","church.abortion","church.ssm","education","evangelical","federal.funds","female","gop.exceptions","ideology","income","incorrect.rps.abortion","incorrect.rps.ssm","insurance","mainline","partyid","pro.choice.count","romancatholic","rps.abortion","rps.ssm","secular.knowledge","ssm","tradition","week.20","weight","bible.collapsed","education.collapsed","ideology.collapsed","income.collapsed","ambiguous"
"1",0,67,3,0,1,"Establish Need","Yes to Civil Unions",5,0,0,0,0,3,10,0,0,0,1,4,0,0,1,1,2,0,"Mainline Protestant",0,0.498123574968918,2,4,2,10,0
"4",1,55,3,0,3,"Never Permit","No to Both",5,0,0,0,1,3,7,0,0,0,0,3,2,1,1,1,2,0,"Roman Catholic Church",0,1.33000348151845,2,4,2,7,0
"6",0,57,2,0,1,"Standard GOP Exceptions","Yes to Civil Unions",2,0,0,0,1,3,10,1,0,0,1,6,1,0,0,1,2,0,"Mainline Protestant",0,1.07937292142043,1,1,2,10,0
"9",0,53,3,0,5,"Never Permit","No to Both",5,0,0,0,1,4,NA,0,0,0,0,6,1,1,1,1,2,0,"Roman Catholic Church",0,0.479658832566289,2,4,2,NA,0
"13",0,42,NA,0,5,"Not Available","Not Available",5,1,0,0,1,2,8,NA,NA,0,0,4,1,0,NA,NA,2,0,"Evangelical Protestant",0,0.24064358398224,NA,4,1,8,0
"14",0,38,3,0,0,"Standard GOP Exceptions","DK",4,1,0,0,0,3,11,0,0,0,0,6,0,0,1,0,2,0,"Evangelical Protestant - Ambiguous",0,2.00129557505153,2,3,2,11,1
"16",0,69,3,0,1,"Establish Need","Yes to Civil Unions",4,1,1,0,0,4,5,1,1,0,0,5,1,0,0,0,2,0,"Evangelical Protestant",0,0.26587527726935,2,3,2,5,0
"17",0,70,3,0,1,"DK","Yes to Civil Unions",2,1,0,0,0,2,6,0,1,0,0,6,0,0,0,0,2,0,"Evangelical Protestant",0,0.502420672299736,2,1,1,6,0
"18",1,72,2,0,1,"DK","DK",3,1,1,0,1,3,9,0,0,1,0,5,4,0,0,0,2,0,"Evangelical Protestant",0,0.688105549817473,1,2,2,9,0
"19",0,65,2,0,2,"Never Permit","Yes to Both",1,1,0,0,0,4,4,0,1,0,0,4,0,0,1,0,2,0,"Evangelical Protestant",0,0.676255538722045,1,0,2,4,0
"20",0,79,2,0,4,"DK","Yes to Both",4,0,0,0,0,3,NA,0,0,0,1,4,0,0,0,1,2,0,"Mainline Protestant",0,0.499975133870134,1,3,2,NA,0
"21",1,76,2,0,0,"Always Permit","Yes to Civil Unions",2,0,1,1,1,2,7,0,0,1,1,2,4,0,1,1,2,1,"Mainline Protestant",0,1.50050044733776,1,1,1,7,0
"22",0,72,2,0,4,"Never Permit","Yes to Civil Unions",5,0,0,0,1,4,7,0,1,0,0,4,2,1,1,0,2,0,"Roman Catholic Church",1,0.292721397149563,1,4,2,7,0
"23",0,55,NA,0,2,"Not Available","Not Available",4,0,0,1,1,2,7,NA,NA,0,1,4,1,0,NA,NA,2,1,"Mainline Protestant",0,0.614956737539316,NA,3,1,7,0
"24",1,55,3,0,4,"Establish Need","Yes to Both",5,0,1,1,1,1,12,0,0,1,1,0,4,0,1,1,2,1,"Mainline Protestant",0,1.321947105727,2,4,0,11,0
"25",0,44,2,0,1,"DK","DK",4,0,0,0,1,2,8,0,0,1,1,2,2,0,0,0,2,1,"Mainline Protestant",0,1.83159958266276,1,3,1,8,0
"26",0,73,2,0,2,"Never Permit","No to Both",3,0,0,1,0,3,8,1,1,0,1,5,0,0,0,0,0,0,"Mainline Protestant",0,0.790771696883919,1,2,2,8,0
"27",1,53,3,0,4,"Always Permit","Yes to Both",5,0,1,0,1,2,NA,0,0,1,1,3,5,0,1,1,2,1,"Mainline Protestant",1,0.983116716178178,2,4,1,NA,0
"29",0,52,3,0,5,"Never Permit","No to Both",4,1,0,0,1,4,8,0,0,0,0,4,1,0,1,1,2,0,"Evangelical Protestant",0,0.440905265198168,2,3,2,8,0
"31",0,57,3,0,1,"Standard GOP Exceptions","Yes to Civil Unions",5,0,0,0,0,3,6,1,0,0,1,6,0,0,0,1,2,1,"Mainline Protestant",0,1.07587904944232,2,4,2,6,0
"34",1,61,2,0,0,"Standard GOP Exceptions","Yes to Both",4,0,0,0,0,2,0,1,0,1,1,0,2,0,0,1,2,1,"Mainline Protestant - Ambiguous",0,0.673579354373157,1,3,1,0,1
"35",1,57,3,0,1,"DK","DK",4,0,1,1,1,2,8,0,0,0,1,5,3,0,0,0,1,1,"Mainline Protestant",0,1.05618194753489,2,3,1,8,0
"40",0,56,3,0,4,"Never Permit","No to Both",5,0,0,0,0,4,NA,0,0,0,0,6,0,1,1,1,2,0,"Roman Catholic Church",0,0.705275916471473,2,4,2,NA,0
"41",0,63,3,0,4,"Never Permit","No to Both",5,1,0,0,1,4,6,0,0,0,0,6,1,0,1,1,2,0,"Evangelical Protestant",0,0.705275916471473,2,4,2,6,0
"42",0,64,2,0,0,"Never Permit","No to Both",2,0,0,0,0,3,8,0,0,0,0,6,0,1,1,1,2,0,"Roman Catholic Church",0,1.07937292142043,1,1,2,8,0
"43",0,66,1,0,4,"Never Permit","No to Both",4,0,0,0,1,4,2,0,0,0,0,4,1,1,1,1,2,0,"Roman Catholic Church",0,0.293809462311912,0,3,2,2,0
"45",1,62,3,0,4,"Always Permit","Yes to Both",5,0,1,1,1,2,4,0,0,1,1,0,5,0,1,1,2,1,"Mainline Protestant",1,1.34006300234167,2,4,1,4,0
"47",1,57,3,0,3,"Standard GOP Exceptions","Yes to Civil Unions",2,0,0,1,1,2,7,1,0,0,1,3,2,0,0,1,2,1,"Mainline Protestant",0,1.65374139529661,2,1,1,7,0
"49",1,52,1,0,1,"Never Permit","No to Both",2,0,1,1,1,1,10,0,0,1,0,0,4,1,1,1,1,1,"Roman Catholic Church",0,1.25729292068147,0,1,0,10,0
"51",1,72,3,0,2,"Always Permit","Yes to Both",5,0,1,1,1,1,11,0,0,1,1,1,5,0,1,1,2,1,"Mainline Protestant",1,1.67358927170002,2,4,0,11,0
"52",0,60,NA,0,NA,"Not Available","Not Available",4,0,0,0,1,2,7,NA,NA,0,0,3,1,1,NA,NA,2,0,"Roman Catholic Church",0,0.343981275946303,NA,3,1,7,0
"53",0,50,3,0,5,"Standard GOP Exceptions","No to Both",5,1,0,0,0,4,NA,0,0,0,0,6,0,0,1,1,2,0,"Evangelical Protestant",0,0.705275916471473,2,4,2,NA,0
"56",0,46,2,0,4,"Standard GOP Exceptions","Yes to Civil Unions",2,1,0,1,0,3,NA,0,1,0,0,6,0,0,1,0,2,0,"Evangelical Protestant",0,2.06390927266436,1,1,2,NA,0
"58",1,80,3,0,4,"Always Permit","Yes to Both",5,0,1,0,1,2,11,0,0,1,1,2,4,0,1,1,2,1,"Mainline Protestant",0,1.09315680266619,2,4,1,11,0
"62",0,35,3,0,2,"Never Permit","No to Both",5,1,0,1,1,3,11,0,0,0,0,5,1,0,1,1,2,1,"Evangelical Protestant",0,1.18228688128121,2,4,2,11,0
"63",1,73,3,0,4,"DK","DK",2,0,1,0,0,2,7,0,0,1,1,0,3,0,0,0,2,1,"Mainline Protestant",0,1.09848735813912,2,1,1,7,0
"66",1,54,3,0,5,"Never Permit","No to Both",4,0,1,0,1,0,11,0,0,1,0,0,5,1,1,1,2,1,"Roman Catholic Church",1,0.439379549357862,2,3,0,11,0
"67",0,58,NA,0,5,"Not Available","Not Available",4,1,0,0,1,4,NA,NA,NA,0,0,6,1,0,NA,NA,2,0,"Evangelical Protestant",0,0.249820825755454,NA,3,2,NA,0
"68",0,60,3,0,4,"Never Permit","Yes to Civil Unions",5,0,1,0,1,0,12,0,1,1,0,0,3,1,1,0,2,1,"Roman Catholic Church",0,0.583260432976969,2,4,0,11,0
"71",1,51,NA,0,2,"Not Available","Not Available",4,0,0,0,1,2,11,NA,NA,0,1,4,3,0,NA,NA,2,0,"Mainline Protestant - Ambiguous",1,0.343981275946303,NA,3,1,11,1
"72",1,52,3,0,0,"Always Permit","Yes to Both",4,0,1,0,1,1,8,1,1,1,0,1,4,1,0,0,0,1,"Roman Catholic Church",0,0.480709147594386,2,3,0,8,0
"75",0,67,3,0,1,"Never Permit","Yes to Civil Unions",2,1,0,0,0,3,4,0,1,0,0,4,0,0,1,0,2,0,"Evangelical Protestant",0,0.848244619389567,2,1,2,4,0
"80",0,70,1,0,1,"Standard GOP Exceptions","Yes to Civil Unions",3,0,0,0,0,3,NA,1,0,0,1,5,0,0,0,1,2,0,"Mainline Protestant",0,0.688105549817473,0,2,2,NA,0
"81",0,69,3,0,1,"Standard GOP Exceptions","Yes to Civil Unions",2,1,0,1,0,4,8,0,1,0,0,6,0,0,1,0,2,0,"Evangelical Protestant",0,0.600227339891373,2,1,2,8,0
"84",0,66,3,0,5,"Standard GOP Exceptions","No to Both",1,1,0,1,1,4,6,0,0,0,0,3,1,0,1,1,1,NA,"Evangelical Protestant",0,1.14525428706789,2,0,2,6,0
"85",1,52,1,0,1,"Standard GOP Exceptions","Yes to Civil Unions",3,1,1,0,1,2,7,0,1,1,0,0,5,0,1,0,1,1,"Evangelical Protestant",1,0.693878523728601,0,2,1,7,0
"87",0,34,3,1,2,"Never Permit","No to Both",4,1,0,0,1,0,7,0,0,0,0,0,1,0,1,1,1,0,"Evangelical Protestant - Ambiguous",0,1.11167591376274,2,3,0,7,1
"88",0,47,3,0,4,"Never Permit","No to Both",2,1,0,1,1,4,8,0,0,0,0,6,1,0,1,1,0,0,"Evangelical Protestant",0,1.31290754609797,2,1,2,8,0
"89",1,53,1,0,1,"DK","DK",4,0,1,1,1,2,NA,0,0,1,0,0,4,1,0,0,1,1,"Roman Catholic Church",0,0.278012053133903,0,3,1,NA,0
"91",0,55,1,0,1,"DK","No to Both",1,0,0,1,1,NA,NA,0,1,1,1,3,2,0,0,0,0,1,"Mainline Protestant",0,0.296315348959654,0,0,NA,NA,0
"92",0,39,2,0,4,"Standard GOP Exceptions","Yes to Both",4,0,0,1,0,3,7,1,1,0,0,5,0,1,0,0,0,1,"Roman Catholic Church",0,2.98363182029377,1,3,2,7,0
"97",1,53,3,0,2,"Standard GOP Exceptions","No to Both",5,0,0,1,0,4,NA,1,1,0,1,3,1,0,0,0,2,0,"Mainline Protestant",0,1.08954386151341,2,4,2,NA,0
"102",0,47,3,0,5,"Standard GOP Exceptions","No to Both",4,1,0,1,0,4,10,0,0,0,0,6,0,0,1,1,1,0,"Evangelical Protestant - Ambiguous",0,0.870157232670899,2,3,2,10,1
"105",0,36,1,0,2,"Standard GOP Exceptions","Yes to Both",1,0,0,1,0,3,2,1,1,1,0,1,1,1,0,0,1,1,"Roman Catholic Church",0,0.379346750495724,0,0,2,2,0
"106",1,75,0,0,0,"Standard GOP Exceptions","DK",0,0,0,1,0,0,1,1,0,1,0,0,3,1,0,0,0,1,"Roman Catholic Church",1,0.86741890398731,0,0,0,1,0
"107",0,68,3,0,4,"Standard GOP Exceptions","Yes to Civil Unions",4,0,0,1,0,4,NA,1,0,0,1,6,0,0,0,1,2,0,"Mainline Protestant",0,0.707862764771124,2,3,2,NA,0
"108",1,64,3,0,2,"Always Permit","Yes to Both",1,0,1,1,0,1,3,0,0,1,1,0,3,0,1,1,1,1,"Mainline Protestant",0,0.952672921291106,2,0,0,3,0
"109",0,62,3,0,4,"Never Permit","No to Both",4,1,0,1,0,3,11,0,0,0,0,6,0,0,1,1,2,0,"Evangelical Protestant",0,1.63220726431588,2,3,2,11,0
"111",0,71,3,0,3,"Standard GOP Exceptions","DK",4,1,0,0,0,3,NA,0,0,0,0,6,0,0,1,0,2,0,"Evangelical Protestant",0,0.290079035626379,2,3,2,NA,0
"113",0,36,3,0,3,"Standard GOP Exceptions","Yes to Civil Unions",5,1,0,1,0,3,4,0,1,0,0,4,0,0,1,0,2,0,"Evangelical Protestant",0,1.16714645237129,2,4,2,4,0
"115",0,53,2,0,4,"Standard GOP Exceptions","No to Both",1,1,0,0,0,4,7,0,0,0,0,3,0,0,1,1,2,0,"Evangelical Protestant",0,0.765543539119835,1,0,2,7,0
"117",0,72,2,0,1,"Standard GOP Exceptions","No to Both",2,1,0,1,0,4,5,0,0,0,0,6,0,0,1,1,2,0,"Evangelical Protestant",0,0.600227339891373,1,1,2,5,0
"121",0,80,2,0,1,"Establish Need","Yes to Civil Unions",1,1,0,1,0,2,NA,1,1,0,0,6,0,0,0,0,2,1,"Evangelical Protestant",0,1.26170471382147,1,0,1,NA,0
"122",0,63,3,0,1,"Never Permit","Yes to Civil Unions",4,0,0,1,1,4,7,0,1,0,0,6,1,1,1,0,2,1,"Roman Catholic Church",0,0.905784938739134,2,3,2,7,0
"123",0,72,2,0,4,"Standard GOP Exceptions","Yes to Civil Unions",2,1,0,0,0,3,8,0,1,0,0,5,0,0,1,0,2,0,"Evangelical Protestant",0,0.593741252992513,1,1,2,8,0
"124",0,75,2,0,NA,"Standard GOP Exceptions","Yes to Both",3,0,1,0,0,3,NA,1,1,1,0,5,2,1,0,0,2,0,"Roman Catholic Church",0,0.688105549817473,1,2,2,NA,0
"125",1,60,3,0,0,"DK","DK",2,0,1,1,1,NA,3,0,0,1,1,NA,4,0,0,0,0,0,"Mainline Protestant",0,1.17090668607201,2,1,NA,3,0
"126",0,70,3,0,2,"Standard GOP Exceptions","Yes to Civil Unions",4,0,0,0,0,2,NA,1,1,0,0,NA,0,1,0,0,2,NA,"Roman Catholic Church",0,0.365057138339919,2,3,1,NA,0
"127",0,42,2,0,0,"DK","DK",2,1,0,0,0,3,4,0,0,0,0,6,0,0,0,0,2,1,"Evangelical Protestant",0,3.7085030260414,1,1,2,4,0
"129",0,55,3,0,5,"Never Permit","No to Both",2,1,0,0,1,4,6,0,0,0,0,4,2,0,1,1,2,0,"Evangelical Protestant - Ambiguous",1,0.587186456393289,2,1,2,6,1
"130",0,69,3,0,1,"Standard GOP Exceptions","Yes to Civil Unions",5,0,0,0,0,4,NA,1,0,0,1,6,0,0,0,1,2,0,"Mainline Protestant",0,0.549539883067809,2,4,2,NA,0
"133",0,53,3,0,4,"Never Permit","Yes to Civil Unions",5,0,0,0,0,3,12,0,1,0,0,6,0,1,1,0,2,0,"Roman Catholic Church",0,0.505889555327613,2,4,2,11,0
"134",1,74,2,0,1,"Establish Need","Yes to Both",5,0,1,0,0,1,9,0,0,1,1,0,4,0,1,1,2,1,"Mainline Protestant",1,0.955074468665828,1,4,0,9,0
"135",0,65,2,0,3,"DK","DK",5,0,0,0,1,3,11,0,0,0,0,5,1,1,0,0,2,0,"Roman Catholic Church",0,0.935151218214071,1,4,2,11,0
"136",0,55,2,0,2,"Standard GOP Exceptions","No to Both",3,0,0,0,0,3,0,1,0,0,0,5,0,1,0,1,2,0,"Roman Catholic Church",0,1.07937292142043,1,2,2,0,0
"137",0,43,3,0,5,"Never Permit","Yes to Civil Unions",3,1,0,0,1,4,6,0,1,0,0,5,1,0,1,0,2,0,"Evangelical Protestant",0,0.884199850636244,2,2,2,6,0
"138",0,33,3,0,1,"DK","DK",4,0,0,0,1,3,10,0,0,0,1,4,1,0,0,0,2,0,"Mainline Protestant - Ambiguous",0,0.351041358008254,2,3,2,10,1
"139",0,50,3,0,4,"Never Permit","No to Both",2,1,0,0,0,2,6,0,0,0,0,0,0,0,1,1,1,0,"Evangelical Protestant",0,0.774036919990272,2,1,1,6,0
"140",0,78,2,0,1,"Standard GOP Exceptions","Yes to Civil Unions",2,1,0,1,0,3,2,0,1,0,0,6,0,0,1,0,2,0,"Evangelical Protestant",0,0.943565886410121,1,1,2,2,0
"146",0,87,2,0,1,"Standard GOP Exceptions","No to Both",2,1,0,0,0,4,3,0,0,0,0,6,0,0,1,1,2,0,"Evangelical Protestant",0,0.312778121762414,1,1,2,3,0
"147",0,70,3,0,5,"Never Permit","No to Both",4,1,0,0,1,3,NA,0,0,0,0,5,1,0,1,1,2,0,"Evangelical Protestant",0,0.504706401381701,2,3,2,NA,0
"148",1,61,3,0,4,"Never Permit","No to Both",5,0,1,0,1,1,13,0,0,1,0,0,5,1,1,1,2,1,"Roman Catholic Church",1,0.638123977257602,2,4,0,11,0
"150",1,78,2,0,4,"DK","No to Both",2,0,0,0,0,3,6,0,1,0,1,6,1,0,0,0,2,NA,"Mainline Protestant",0,0.532254074015477,1,1,2,6,0
"151",0,72,2,0,5,"Never Permit","No to Both",2,0,0,1,0,3,4,0,0,0,0,6,0,1,1,1,2,0,"Roman Catholic Church",0,0.715853006875361,1,1,2,4,0
"152",1,70,2,0,4,"Always Permit","No to Both",2,1,0,0,0,3,5,1,0,0,0,6,1,0,0,1,1,0,"Evangelical Protestant - Ambiguous",0,0.593741252992513,1,1,2,5,1
"153",0,57,3,0,4,"Standard GOP Exceptions","DK",4,0,0,0,0,3,9,1,0,0,1,4,0,0,0,0,2,0,"Mainline Protestant - Ambiguous",0,0.774986316939939,2,3,2,9,1
"154",0,24,3,0,3,"Never Permit","No to Both",4,0,0,0,NA,3,6,0,0,0,0,4,NA,1,1,1,2,0,"Roman Catholic Church",0,2.0320205470097,2,3,2,6,0
"156",0,55,3,0,1,"Standard GOP Exceptions","No to Both",4,1,0,1,0,4,1,0,0,0,0,4,0,0,1,1,2,0,"Evangelical Protestant",0,0.977851550181011,2,3,2,1,0
"157",0,88,3,0,5,"Never Permit","No to Both",2,1,0,1,0,4,2,0,0,0,0,4,0,0,1,1,2,0,"Evangelical Protestant - Ambiguous",0,0.835281957576565,2,1,2,2,1
"160",0,41,3,0,0,"Establish Need","Yes to Both",2,0,0,1,0,3,4,0,0,0,1,4,0,0,1,1,2,1,"Mainline Protestant - Ambiguous",0,3.44293576607405,2,1,2,4,1
"163",1,37,3,0,0,"Never Permit","No to Both",4,1,1,1,0,2,8,0,0,1,0,5,3,0,1,1,1,0,"Evangelical Protestant",0,2.06846211961042,2,3,1,8,0
"165",1,64,3,0,0,"DK","DK",4,0,1,1,1,2,1,0,0,1,1,3,4,0,0,0,2,1,"Mainline Protestant - Ambiguous",0,1.7176803478819,2,3,1,1,1
"166",1,50,3,0,3,"Never Permit","No to Both",2,0,0,1,1,3,8,0,0,0,0,3,3,1,1,1,2,1,"Roman Catholic Church",1,1.69570745115282,2,1,2,8,0
"167",1,45,3,0,2,"DK","Yes to Both",3,0,0,1,1,2,9,0,0,0,1,2,2,0,0,1,1,1,"Mainline Protestant",0,2.54615598750511,2,2,1,9,0
"168",0,67,2,0,2,"Never Permit","Yes to Civil Unions",2,0,0,0,0,3,6,0,1,0,0,4,0,1,1,0,2,0,"Roman Catholic Church",0,0.760401356914807,1,1,2,6,0
"170",1,56,3,0,5,"Always Permit","No to Both",2,1,0,1,1,2,1,1,0,1,0,0,3,0,0,1,0,0,"Evangelical Protestant",0,0.903219086676846,2,1,1,1,0
"171",0,61,3,0,1,"Never Permit","No to Both",1,1,0,0,1,3,6,0,0,0,0,3,2,0,1,1,NA,0,"Evangelical Protestant - Ambiguous",1,1.30272432495221,2,0,2,6,1
"174",0,61,2,0,2,"Never Permit","No to Both",5,0,0,1,0,4,8,1,1,0,1,6,0,0,0,0,2,0,"Mainline Protestant",0,1.00924564640905,1,4,2,8,0
"175",0,58,3,0,4,"Never Permit","No to Both",2,0,0,1,0,3,9,1,1,0,1,6,0,0,0,0,0,0,"Mainline Protestant",0,2.06390927266436,2,1,2,9,0
"177",1,42,2,0,3,"Always Permit","Yes to Both",4,0,1,1,1,0,3,0,0,1,1,0,5,0,1,1,2,1,"Mainline Protestant",1,1.83616187470862,1,3,0,3,0
"178",1,56,2,0,2,"Standard GOP Exceptions","No to Both",5,0,1,1,1,1,10,1,0,1,0,0,5,1,0,1,2,1,"Roman Catholic Church",1,1.321947105727,1,4,0,10,0
"180",0,61,3,0,1,"Never Permit","No to Both",1,0,0,1,0,4,7,0,0,0,0,6,0,1,1,1,2,0,"Roman Catholic Church",0,0.727321837688863,2,0,2,7,0
"181",0,71,0,0,2,"Never Permit","Yes to Civil Unions",1,1,0,0,0,2,7,0,1,0,0,1,0,0,1,0,2,0,"Evangelical Protestant",0,1.64212335960549,0,0,1,7,0
"182",0,68,2,0,4,"Never Permit","DK",3,0,0,1,0,3,4,0,0,0,0,6,0,1,1,0,2,0,"Roman Catholic Church",0,0.943565886410121,1,2,2,4,0
"183",0,63,2,0,4,"Never Permit","No to Both",5,0,0,1,1,4,5,0,0,0,0,4,2,1,1,1,2,0,"Roman Catholic Church",1,0.305807518734603,1,4,2,5,0
"184",1,62,1,0,1,"Always Permit","DK",2,0,0,1,1,2,6,1,0,1,0,3,3,1,0,0,0,1,"Roman Catholic Church",0,0.778056506824811,0,1,1,6,0
"185",1,51,2,0,1,"Establish Need","No to Both",2,0,0,1,1,3,9,0,1,0,1,6,2,0,1,0,0,1,"Mainline Protestant - Ambiguous",0,1.80051543443512,1,1,2,9,1
"186",1,41,3,0,3,"Establish Need","Yes to Civil Unions",4,0,0,0,0,2,10,0,0,0,1,4,1,0,1,1,2,0,"Mainline Protestant",0,0.977899252491883,2,3,1,10,0
"188",1,64,2,0,2,"DK","Yes to Both",4,0,1,1,1,1,6,0,0,1,1,0,4,0,0,1,2,1,"Mainline Protestant",0,1.75591832630249,1,3,0,6,0
"190",1,73,1,0,2,"Always Permit","Yes to Both",2,0,1,1,1,2,7,0,0,1,1,0,4,0,1,1,2,1,"Mainline Protestant",0,0.89485780936313,0,1,1,7,0
"191",0,76,2,0,4,"Standard GOP Exceptions","Yes to Both",5,0,1,1,0,2,NA,1,1,0,0,4,1,1,0,0,2,1,"Roman Catholic Church",0,2.11796345895665,1,4,1,NA,0
"192",0,78,3,0,5,"Standard GOP Exceptions","No to Both",4,1,0,1,0,4,NA,0,0,0,0,6,0,0,1,1,2,0,"Evangelical Protestant",0,0.81141460719736,2,3,2,NA,0
"194",0,79,3,0,1,"Establish Need","Yes to Civil Unions",4,0,1,0,0,2,4,0,0,0,1,4,2,0,1,1,2,0,"Mainline Protestant",1,0.365057138339919,2,3,1,4,0
"195",0,63,3,0,4,"Never Permit","No to Both",2,1,0,0,1,2,9,0,0,0,0,3,1,0,1,1,2,0,"Evangelical Protestant",0,1.08680471983522,2,1,1,9,0
"196",1,72,NA,0,2,"Not Available","Not Available",4,0,0,0,1,3,4,NA,NA,0,1,6,2,0,NA,NA,2,1,"Mainline Protestant",0,0.237318216297953,NA,3,2,4,0
"198",0,67,3,0,5,"Never Permit","No to Both",4,1,0,0,0,4,8,0,0,0,0,5,0,0,1,1,2,0,"Evangelical Protestant",0,0.296589782910793,2,3,2,8,0
"199",1,29,3,0,4,"Standard GOP Exceptions","No to Both",4,0,0,1,0,NA,8,1,0,0,0,NA,1,1,0,1,0,0,"Roman Catholic Church",0,0.488852612193158,2,3,NA,8,0
"200",1,48,3,0,2,"Always Permit","Yes to Both",4,0,1,1,1,2,10,0,0,1,1,2,5,0,1,1,2,1,"Mainline Protestant",1,1.47215942231735,2,3,1,10,0
"202",1,66,2,0,1,"Establish Need","Yes to Both",5,0,0,1,0,1,5,0,0,0,1,1,1,0,1,1,0,1,"Mainline Protestant - Ambiguous",0,0.726705418758179,1,4,0,5,1
"203",0,73,2,0,2,"Never Permit","No to Both",4,0,0,1,0,3,NA,0,0,0,0,6,0,1,1,1,2,0,"Roman Catholic Church",0,1.11277030003142,1,3,2,NA,0
"204",1,71,3,0,4,"Establish Need","Yes to Both",2,0,0,0,0,3,6,1,1,0,0,6,1,1,0,0,1,1,"Roman Catholic Church",0,0.688105549817473,2,1,2,6,0
"205",1,57,2,0,1,"Always Permit","Yes to Both",5,0,1,1,1,0,7,1,1,1,0,0,4,1,0,0,0,1,"Roman Catholic Church",0,1.00343570930577,1,4,0,7,0
"207",1,68,1,0,0,"Establish Need","Yes to Both",1,1,1,0,1,0,3,1,1,1,0,0,5,0,0,0,2,1,"Evangelical Protestant",1,0.871445543506412,0,0,0,3,0
"209",1,50,2,0,4,"Establish Need","Yes to Civil Unions",4,0,0,0,0,2,7,1,1,0,0,3,1,1,0,0,2,1,"Roman Catholic Church",0,0.731547517227154,1,3,1,7,0
"213",0,43,3,0,5,"Never Permit","No to Both",3,0,0,1,1,4,7,0,0,0,0,4,1,1,1,1,2,0,"Roman Catholic Church",0,0.857580774339385,2,2,2,7,0
"214",0,61,3,0,5,"Never Permit","No to Both",4,1,0,1,0,4,8,0,0,0,0,6,0,0,1,1,2,0,"Evangelical Protestant",0,1.03829042414731,2,3,2,8,0
"215",0,59,3,0,3,"Establish Need","Yes to Both",5,0,0,0,1,2,9,1,1,0,0,4,1,1,0,0,2,1,"Roman Catholic Church",0,0.971102825028427,2,4,1,9,0
"216",0,60,3,0,1,"Standard GOP Exceptions","Yes to Civil Unions",5,0,0,0,0,4,NA,1,1,0,0,6,0,1,0,0,2,0,"Roman Catholic Church",0,0.705275916471473,2,4,2,NA,0
"217",1,22,2,0,4,"Standard GOP Exceptions","No to Both",1,1,1,1,0,NA,1,0,0,1,0,NA,4,0,1,1,0,0,"Evangelical Protestant - Ambiguous",1,1.44722876721764,1,0,NA,1,1
"218",1,54,3,0,1,"Always Permit","No to Both",2,0,1,0,0,2,10,0,1,0,1,6,2,0,1,0,2,NA,"Mainline Protestant - Ambiguous",0,0.788104774021997,2,1,1,10,1
"221",0,54,1,0,1,"DK","Yes to Civil Unions",2,0,0,1,0,2,2,0,0,1,1,2,1,0,0,1,0,0,"Mainline Protestant - Ambiguous",0,0.482227284260835,0,1,1,2,1
"222",0,79,3,0,2,"Establish Need","Yes to Civil Unions",4,0,0,0,0,3,11,0,0,0,1,5,0,0,1,1,2,1,"Mainline Protestant",0,0.452439571889556,2,3,2,11,0
"224",0,82,3,0,4,"Standard GOP Exceptions","No to Both",2,1,0,0,0,3,6,0,0,0,0,5,0,0,1,1,2,0,"Evangelical Protestant",0,0.767597039243796,2,1,2,6,0
"226",0,67,NA,0,4,"Not Available","Not Available",4,1,0,0,1,4,4,NA,NA,0,0,6,1,0,NA,NA,2,0,"Evangelical Protestant - Ambiguous",0,0.107872906959361,NA,3,2,4,1
"227",1,57,3,0,4,"Never Permit","Yes to Both",4,0,1,0,0,2,4,0,1,1,0,0,3,1,1,0,2,1,"Roman Catholic Church",0,0.673579354373157,2,3,1,4,0
"229",NA,74,NA,0,1,"Not Available","Not Available",1,0,0,0,NA,3,NA,NA,NA,NA,0,6,NA,1,NA,NA,2,0,"Roman Catholic Church",NA,0.339534262266028,NA,0,2,NA,0
"230",1,78,2,0,5,"Standard GOP Exceptions","No to Both",3,0,0,0,0,4,10,1,1,0,1,6,1,0,0,0,2,1,"Mainline Protestant",0,0.45107697982239,1,2,2,10,0
"232",0,66,2,0,2,"Standard GOP Exceptions","Yes to Civil Unions",2,0,0,0,0,2,2,1,1,0,0,3,0,1,0,0,2,0,"Roman Catholic Church",0,0.505527852794525,1,1,1,2,0
"233",0,60,3,0,4,"Standard GOP Exceptions","Yes to Civil Unions",2,1,0,0,1,NA,3,0,1,0,0,3,2,0,1,0,0,0,"Evangelical Protestant",1,0.859763027800581,2,1,NA,3,0
"234",0,67,2,0,4,"Standard GOP Exceptions","No to Both",2,0,0,0,0,3,5,1,0,0,0,6,0,1,0,1,2,0,"Roman Catholic Church",0,0.688105549817473,1,1,2,5,0
"236",0,74,3,0,5,"Standard GOP Exceptions","No to Both",5,1,0,0,0,3,4,0,0,0,0,4,0,0,1,1,2,0,"Evangelical Protestant",0,1.15278388522822,2,4,2,4,0
"238",0,64,2,0,3,"Establish Need","Yes to Civil Unions",5,0,0,1,0,3,4,0,0,0,1,6,0,0,1,1,2,0,"Mainline Protestant",0,1.58654846200749,1,4,2,4,0
"239",0,53,3,0,2,"Standard GOP Exceptions","No to Both",2,1,0,0,1,3,10,0,0,0,0,4,1,0,1,1,2,0,"Evangelical Protestant",0,1.33432261190515,2,1,2,10,0
