"","abortion","age","bible","black","church","church.abortion","church.ssm","education","evangelical","federal.funds","female","gop.exceptions","ideology","income","incorrect.rps.abortion","incorrect.rps.ssm","insurance","mainline","partyid","pro.choice.count","romancatholic","rps.abortion","rps.ssm","secular.knowledge","ssm","tradition","week.20","weight","bible.collapsed","education.collapsed","ideology.collapsed","income.collapsed","ambiguous"
"811",1,27,2,0,2,"DK","DK",3,1,1,1,1,2,NA,0,0,1,0,5,4,0,0,0,1,1,"Evangelical Protestant",0,1.56875929363208,1,2,1,NA,0
"812",1,32,3,0,1,"Always Permit","DK",2,0,0,1,1,NA,2,0,0,1,1,1,3,0,1,0,0,1,"Mainline Protestant - Ambiguous",0,0.946274431815,2,1,NA,2,1
"813",1,37,NA,0,5,"Not Available","Not Available",4,0,0,0,0,1,9,NA,NA,0,0,0,1,1,NA,NA,2,1,"Roman Catholic Church",0,0.188886796398357,NA,3,0,9,0
"814",1,63,NA,0,1,"Not Available","Not Available",1,0,0,1,1,3,9,NA,NA,1,0,6,4,1,NA,NA,1,0,"Roman Catholic Church",1,0.450561660007318,NA,0,2,9,0
"815",1,55,NA,1,4,"Not Available","Not Available",3,0,1,1,0,2,8,NA,NA,0,0,0,2,1,NA,NA,2,1,"Roman Catholic Church",0,0.25844425865867,NA,2,1,8,0
"816",1,58,1,0,4,"Standard GOP Exceptions","No to Both",1,1,0,0,0,NA,3,0,0,0,0,NA,1,0,1,1,0,0,"Evangelical Protestant",0,0.156153450668561,0,0,NA,3,0
"817",1,54,2,1,1,"Never Permit","No to Both",3,0,0,1,1,NA,3,1,1,0,1,1,2,0,0,0,0,1,"Mainline Protestant - Ambiguous",0,0.0775179750266408,1,2,NA,3,1
"821",1,59,2,0,1,"Always Permit","Yes to Both",1,0,1,1,1,NA,6,1,1,1,0,NA,4,1,0,0,0,1,"Roman Catholic Church",0,0.266201647883525,1,0,NA,6,0
"823",1,38,3,1,4,"Always Permit","Yes to Both",4,1,0,1,0,3,4,1,1,0,0,1,2,0,0,0,0,0,"Evangelical Protestant",1,0.547747373366031,2,3,2,4,0
"825",0,43,3,0,4,"Never Permit","No to Both",0,1,0,0,1,3,3,0,0,0,0,4,1,0,1,1,0,0,"Evangelical Protestant",0,3.03603305486679,2,0,2,3,0
